"R83", "-10.03", "99.06", "180.00", "5k", "R0402"
"R84", "-10.03", "97.66", "180.00", "5k", "R0402"
"R85", "-3.94", "89.79", "90.00", "5k", "R0402"
"R86", "-12.45", "85.09", "180.00", "10k", "R0402"
"R87", "-2.54", "87.38", "270.00", "5k", "R0402"
"R88", "-2.16", "83.82", "180.00", "10k", "R0402"
"R89", "-0.13", "137.80", "270.00", "100k", "R0402"
"R9", "105.28", "84.58", "0.00", "10k", "R0402"
"R90", "0.51", "140.21", "270.00", "100k", "R0402"
"R91", "-4.70", "154.94", "90.00", "100k", "R0402"
"R92", "-3.30", "154.94", "270.00", "10k", "R0402"
"R93", "-5.08", "144.15", "90.00", "100k", "R0402"
"R94", "6.99", "109.47", "270.00", "100k", "R0402"
"R95", "53.72", "130.68", "0.00", "100k", "R0402"
"R96", "52.83", "154.43", "0.00", "470k", "R0402"
"R97", "54.86", "127.25", "270.00", "1k", "R0402"
"R98", "51.82", "138.30", "90.00", "470k", "R0402"
"R99", "54.61", "155.83", "270.00", "100k", "R0402"
"U$1", "10.16", "74.93", "0.00", "LC75281E", "QFP80P1720X1720X270-64N"
"U$3", "71.12", "76.20", "0.00", "LC75281E", "QFP80P1720X1720X270-64N"
"U2", "100.33", "80.01", "180.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
